"Labour Force Status for people aged 15 to 64 years: Seasonally Adjusted (Qrtly-Mar/Jun/Sep/Dec)",""
"","Seasonally Adjusted"
" ","Unemployment Rate"
"1986Q1",4.2
"1986Q2",4.2
"1986Q3",4.2
"1986Q4",4.3
"1987Q1",4.1
"1987Q2",4.2
"1987Q3",4.2
"1987Q4",4.5
"1988Q1",5.0
"1988Q2",5.5
"1988Q3",6.5
"1988Q4",6.4
"1989Q1",7.2
"1989Q2",7.5
"1989Q3",7.4
"1989Q4",7.3
"1990Q1",7.3
"1990Q2",7.7
"1990Q3",8.2
"1990Q4",9.0
"1991Q1",9.9
"1991Q2",10.5
"1991Q3",11.3
"1991Q4",11.1
"1992Q1",11.1
"1992Q2",10.6
"1992Q3",10.8
"1992Q4",10.7
"1993Q1",10.1
"1993Q2",10.3
"1993Q3",9.6
"1993Q4",9.5
"1994Q1",9.4
"1994Q2",8.7
"1994Q3",8.1
"1994Q4",7.7
"1995Q1",6.9
"1995Q2",6.5
"1995Q3",6.3
"1995Q4",6.5
"1996Q1",6.4
"1996Q2",6.3
"1996Q3",6.5
"1996Q4",6.3
"1997Q1",6.7
"1997Q2",6.9
"1997Q3",7.1
"1997Q4",7.1
"1998Q1",7.5
"1998Q2",8.0
"1998Q3",7.8
"1998Q4",8.1
"1999Q1",7.6
"1999Q2",7.4
"1999Q3",7.0
"1999Q4",6.5
"2000Q1",6.6
"2000Q2",6.4
"2000Q3",6.1
"2000Q4",5.9
"2001Q1",5.6
"2001Q2",5.5
"2001Q3",5.5
"2001Q4",5.6
"2002Q1",5.4
"2002Q2",5.3
"2002Q3",5.6
"2002Q4",5.1
"2003Q1",5.1
"2003Q2",4.9
"2003Q3",4.6
"2003Q4",4.8
"2004Q1",4.3
"2004Q2",4.2
"2004Q3",4.0
"2004Q4",3.8
"2005Q1",3.9
"2005Q2",3.9
"2005Q3",3.8
"2005Q4",3.8
"2006Q1",4.1
"2006Q2",3.8
"2006Q3",3.9
"2006Q4",3.9
"2007Q1",3.9
"2007Q2",3.7
"2007Q3",3.6
"2007Q4",3.5
"2008Q1",3.8
"2008Q2",3.9
"2008Q3",4.2
"2008Q4",4.6
"2009Q1",5.1
"2009Q2",5.9
"2009Q3",6.3
"2009Q4",6.7
"2010Q1",6.0
"2010Q2",6.7
"2010Q3",6.2
"2010Q4",6.3
"2011Q1",6.2
"2011Q2",6.2
"2011Q3",6.1
"2011Q4",6.2
"2012Q1",6.6
"2012Q2",6.6
"2012Q3",6.9
"2012Q4",6.5
"2013Q1",6.0
"2013Q2",6.2
"2013Q3",6.0
"2013Q4",5.8
"2014Q1",5.8
"2014Q2",5.5
"2014Q3",5.5
"2014Q4",5.7
"2015Q1",5.7
"2015Q2",5.8
"2015Q3",5.8
"2015Q4",5.1
"2016Q1",5.5
"2016Q2",5.3
"2016Q3",5.2
"2016Q4",5.4
"2017Q1",5.2
"2017Q2",5.0
"2017Q3",4.9
"Table information:"
"Units:"
"Unemployment Rate: Percent, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"HLF234AA"
""
"Last updated:"
"Unemployment Rate: 01 November 2017 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
